      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
185  0.093130   11.082530  0.753729   3.824440   3.700840   1.255129   1.045753   17.301614   14.929800
186  0.093628   11.392930  0.759791   3.896701   3.760937   1.275415   1.058819   17.518859   15.069722
187  0.094126   11.692655  0.765372   3.969351   3.821146   1.295964   1.072255   17.737742   15.212846
188  0.094624   11.984956  0.770572   4.042393   3.881483   1.316776   1.086016   17.958274   15.358660
189  0.095122   12.272285  0.775466   4.115829   3.941957   1.337856   1.100070   18.180465   15.506794
190  0.095620   12.556654  0.780110   4.189661   4.002578   1.359206   1.114392   18.404326   15.656960
191  0.096118   12.839693  0.784547   4.263893   4.063354   1.380829   1.128962   18.629868   15.808935
192  0.096616   13.122884  0.788812   4.338526   4.124291   1.402727   1.143763   18.857102   15.962532
193  0.097114   13.407591  0.792935   4.413564   4.185394   1.424903   1.158783   19.086038   16.117587
194  0.097612   13.695070  0.796938   4.489008   4.246669   1.447359   1.174008   19.316687   16.273962
195  0.098110   13.986600  0.800844   4.564861   4.308118   1.470100   1.189427   19.549060   16.431523
196  0.098608   14.283498  0.804672   4.641126   4.369745   1.493127   1.205029   19.783169   16.590143
197  0.099106   14.587122  0.808438   4.717806   4.431552   1.516442   1.220802   20.019024   16.749697
198  0.099604   14.898976  0.812159   4.794902   4.493541   1.540050   1.236735   20.256635   16.910056
199  0.100102   15.220732  0.815850   4.872418   4.555712   1.563953   1.252813   20.496015   17.071081
200  0.100600   15.554246  0.819527   4.950355   4.618067   1.588154   1.269024   20.737175   17.232624
201  0.101098   15.901744  0.823205   5.028717   4.680604   1.612655   1.285351   20.980124   17.394514
202  0.101596   16.265821  0.826903   5.107507   4.743321   1.637460   1.301773   21.224875   17.556555
203  0.102094   16.649636  0.830638   5.186726   4.806218   1.662572   1.318268   21.471439   17.718517
204  0.102592   17.057039  0.834431   5.266377   4.869289   1.687992   1.334807   21.719827   17.880123
205  0.103090   17.492955  0.838306   5.346462   4.932529   1.713726   1.351355   21.970049   18.041024
206  0.103588   17.963740  0.842294   5.426986   4.995933   1.739774   1.367864   22.222119   18.200780
207  0.104086   18.477686  0.846429   5.507949   5.059491   1.766141   1.384275   22.476046   18.358826
208  0.104584   19.046317  0.850759   5.589354   5.123190   1.792830   1.400505   22.731842   18.514388
209  0.105082   19.685846  0.855348   5.671205   5.187015   1.819843   1.416441   22.989519   18.666399
210  0.105580   20.420033  0.860280   5.753504   5.250943   1.847184   1.431917   23.249088   18.813332
211  0.106078   21.285995  0.865683   5.836252   5.314945   1.874855   1.446682   23.510561   18.952855
212  0.106576   22.344206  0.871746   5.919454   5.378977   1.902861   1.460338   23.773949   19.081292
213  0.107074   23.699291  0.878755   6.003111   5.442973   1.931203   1.472223   24.039263   19.192553
214  0.107572   25.531400  0.887100   6.087227   5.506834   1.959885   1.481273   24.306516   19.276897
215  0.108070   28.064778  0.896913   6.171803   5.570412   1.988911   1.486407   24.575718   19.324529
216  0.108568   31.193747  0.906910   6.256843   5.633558   2.018283   1.488948   24.846883   19.347988
217  0.109066   34.320566  0.915136   6.342349   5.696251   2.048006   1.492818   25.120020   19.383544
218  0.109564   37.129213  0.921377   6.428323   5.758594   2.078081   1.499543   25.395143   19.445050
219  0.110062   39.636287  0.926221   6.514769   5.820702   2.108512   1.508667   25.672262   19.528128
220  0.110560   41.916456  0.930137   6.601689   5.882663   2.139303   1.519563   25.951390   19.626904
221  0.111058   44.029616  0.933412   6.689085   5.944537   2.170457   1.531790   26.232538   19.737240
222  0.111556   46.017466  0.936224   6.776961   6.006373   2.201977   1.545056   26.515719   19.856423
223  0.112054   47.909023  0.938688   6.865319   6.068205   2.233867   1.559167   26.800944   19.982633
224  0.112552   49.724838  0.940881   6.954161   6.130061   2.266129   1.573990   27.088226   20.114617
225  0.113050   51.480030  0.942857   7.043491   6.191964   2.298768   1.589428   27.377576   20.251476
226  0.113548   53.185910  0.944655   7.133310   6.253935   2.331787   1.605411   27.669006   20.392549
227  0.114046   54.851290  0.946304   7.223623   6.315988   2.365189   1.621888   27.962529   20.537334
228  0.114544   56.482804  0.947827   7.314431   6.378139   2.398978   1.638817   28.258157   20.685454
229  0.115042   58.086177  0.949242   7.405737   6.440399   2.433157   1.656168   28.555901   20.836598
230  0.115540   59.665818  0.950563   7.497544   6.502780   2.467730   1.673914   28.855774   20.990526
231  0.116038   61.225393  0.951801   7.589854   6.565292   2.502700   1.692037   29.157789   21.147042
232  0.116536   62.768010  0.952966   7.682671   6.627944   2.538071   1.710520   29.461957   21.305986
233  0.117034   64.296274  0.954067   7.775996   6.690744   2.573846   1.729351   29.768291   21.467224
234  0.117532   65.812455  0.955109   7.869834   6.753699   2.610030   1.748517   30.076804   21.630644
235  0.118030   67.318350  0.956098   7.964185   6.816818   2.646625   1.768011   30.387507   21.796156
236  0.118528   68.815702  0.957039   8.059054   6.880105   2.683635   1.787826   30.700413   21.963679
237  0.119026   70.305979  0.957936   8.154443   6.943568   2.721064   1.807954   31.015534   22.133144
238  0.119524   71.790461  0.958794   8.250355   7.007212   2.758916   1.828392   31.332884   22.304494
239  0.120022   73.270205  0.959614   8.346792   7.071043   2.797195   1.849136   31.652474   22.477682
240  0.120520   74.746321  0.960401   8.443758   7.135065   2.835903   1.870181   31.974317   22.652662
241  0.121018   76.219669  0.961156   8.541254   7.199285   2.875045   1.891525   32.298427   22.829398
242  0.121516   77.690911  0.961882   8.639285   7.263706   2.914626   1.913167   32.624814   23.007863
243  0.122014   79.161048  0.962581   8.737851   7.328332   2.954647   1.935104   32.953493   23.188022
244  0.122512   80.630816  0.963255   8.836958   7.393170   2.995114   1.957335   33.284476   23.369848
245  0.123010   82.100398  0.963904   8.936606   7.458221   3.036031   1.979860   33.617776   23.553333
246  0.123508   83.570634  0.964532   9.036800   7.523491   3.077400   2.002677   33.953405   23.738451
247  0.124006   85.041946  0.965138   9.137541   7.588984   3.119227   2.025787   34.291377   23.925188
248  0.124504   86.514926  0.965725   9.238833   7.654703   3.161514   2.049190   34.631704   24.113528
249  0.125002   87.989908  0.966293   9.340678   7.720652   3.204266   2.072884   34.974399   24.303462
250  0.125500   89.467268  0.966843   9.443080   7.786834   3.247488   2.096872   35.319476   24.494981
251  0.125998   90.947497  0.967377   9.546041   7.853253   3.291182   2.121154   35.666947   24.688074
252  0.126496   92.430894  0.967894   9.649564   7.919912   3.335353   2.145729   36.016825   24.882734
253  0.126994   93.917831  0.968397   9.753652   7.986815   3.380005   2.170599   36.369123   25.078956
254  0.127492   95.408341  0.968886   9.858307   8.053965   3.425142   2.195766   36.723855   25.276740
255  0.127990   96.903137  0.969361   9.963533   8.121365   3.470769   2.221229   37.081034   25.476073
256  0.128488   98.402122  0.969823  10.069333   8.189018   3.516889   2.246991   37.440673   25.676961
257  0.128986   99.905788  0.970272  10.175708   8.256927   3.563506   2.273052   37.802785   25.879396
258  0.129484  101.414243  0.970710  10.282663   8.325096   3.610625   2.299414   38.167384   26.083380
259  0.129982  102.927780  0.971137  10.390201   8.393526   3.658250   2.326078   38.534482   26.288910
260  0.130480  104.446456  0.971552  10.498323   8.462222   3.706385   2.353046   38.904093   26.495991
261  0.130978  105.970917  0.971957  10.607033   8.531185   3.755034   2.380319   39.276231   26.704613
262  0.131476  107.500881  0.972353  10.716334   8.600420   3.804202   2.407900   39.650910   26.914787
263  0.131974  109.036776  0.972739  10.826228   8.669927   3.853893   2.435789   40.028141   27.126510
264  0.132472  110.578643  0.973115  10.936720   8.739711   3.904111   2.463989   40.407940   27.339787
265  0.132970  112.126882  0.973483  11.047811   8.809774   3.954861   2.492502   40.790319   27.554616
266  0.133468  113.681336  0.973843  11.159504   8.880119   4.006147   2.521329   41.175293   27.771005
267  0.133966  115.242409  0.974194  11.271804   8.950748   4.057974   2.550472   41.562874   27.988952
268  0.134464  116.810109  0.974537  11.384711   9.021663   4.110345   2.579934   41.953077   28.208465
269  0.134962  118.384760  0.974873  11.498230   9.092869   4.163265   2.609716   42.345915   28.429542
270  0.135460  119.966367  0.975201  11.612364   9.164366   4.216740   2.639821   42.741402   28.652191
271  0.135958  121.554919  0.975523  11.727114   9.236158   4.270772   2.670251   43.139552   28.876419
272  0.136456  123.150970  0.975837  11.842486   9.308247   4.325368   2.701007   43.540379   29.102222
273  0.136954  124.754340  0.976145  11.958480   9.380636   4.380531   2.732092   43.943896   29.329610
274  0.137452  126.365102  0.976447  12.075101   9.453327   4.436266   2.763509   44.350118   29.558590
275  0.137950  127.983404  0.976743  12.192351   9.526323   4.492577   2.795259   44.759058   29.789165
276  0.138448  129.609543  0.977032  12.310234   9.599626   4.549470   2.827345   45.170731   30.021339
277  0.138946  131.243467  0.977316  12.428752   9.673239   4.606949   2.859770   45.585150   30.255118
278  0.139444  132.885503  0.977594  12.547908   9.747163   4.665018   2.892535   46.002329   30.490506
279  0.139942  134.535414  0.977867  12.667706   9.821402   4.723683   2.925643   46.422283   30.727513
280  0.140440  136.193669  0.978134  12.788148   9.895957   4.782948   2.959096   46.845026   30.966140
281  0.140938  137.860087  0.978397  12.909238   9.970832   4.842818   2.992898   47.270572   31.206397
282  0.141436  139.534942  0.978654  13.030979  10.046029   4.903297   3.027050   47.698935   31.448288
